#      x          Cp  
     1.00000    0.45450
     0.99114    0.26668
     0.97943    0.21092
     0.96611    0.16458
     0.95134    0.12841
     0.93541    0.09768
     0.91866    0.07105
     0.90139    0.04754
     0.88379    0.02647
     0.86600    0.00734
     0.84809   -0.01026
     0.83012   -0.02664
     0.81211   -0.04204
     0.79408   -0.05665
     0.77603   -0.07062
     0.75797   -0.08408
     0.73990   -0.09713
     0.72184   -0.10986
     0.70377   -0.12234
     0.68571   -0.13463
     0.66766   -0.14677
     0.64962   -0.15882
     0.63159   -0.17080
     0.61358   -0.18275
     0.59558   -0.19470
     0.57760   -0.20666
     0.55965   -0.21864
     0.54173   -0.23067
     0.52384   -0.24275
     0.50598   -0.25489
     0.48816   -0.26708
     0.47038   -0.27932
     0.45264   -0.29162
     0.43495   -0.30395
     0.41732   -0.31630
     0.39975   -0.32865
     0.38225   -0.34098
     0.36482   -0.35326
     0.34746   -0.36546
     0.33020   -0.37752
     0.31303   -0.38942
     0.29597   -0.40107
     0.27904   -0.41243
     0.26224   -0.42341
     0.24560   -0.43391
     0.22914   -0.44383
     0.21290   -0.45304
     0.19691   -0.46139
     0.18123   -0.46869
     0.16592   -0.47474
     0.15107   -0.47930
     0.13677   -0.48210
     0.12314   -0.48287
     0.11030   -0.48132
     0.09835   -0.47720
     0.08737   -0.47032
     0.07739   -0.46050
     0.06841   -0.44762
     0.06036   -0.43156
     0.05317   -0.41217
     0.04676   -0.38924
     0.04104   -0.36249
     0.03592   -0.33155
     0.03132   -0.29596
     0.02719   -0.25514
     0.02346   -0.20840
     0.02010   -0.15496
     0.01706   -0.09394
     0.01432   -0.02443
     0.01185    0.05446
     0.00963    0.14337
     0.00765    0.24250
     0.00591    0.35122
     0.00440    0.46753
     0.00311    0.58761
     0.00205    0.70545
     0.00122    0.81318
     0.00061    0.90206
     0.00021    0.96462
     0.00002    0.99613
     0.00002    0.99613
     0.00021    0.96462
     0.00061    0.90206
     0.00122    0.81318
     0.00205    0.70545
     0.00311    0.58761
     0.00440    0.46753
     0.00591    0.35122
     0.00765    0.24250
     0.00963    0.14337
     0.01185    0.05446
     0.01432   -0.02443
     0.01706   -0.09394
     0.02010   -0.15496
     0.02346   -0.20840
     0.02719   -0.25514
     0.03132   -0.29596
     0.03592   -0.33155
     0.04104   -0.36249
     0.04676   -0.38924
     0.05317   -0.41217
     0.06036   -0.43156
     0.06841   -0.44762
     0.07739   -0.46050
     0.08737   -0.47032
     0.09835   -0.47720
     0.11030   -0.48132
     0.12314   -0.48287
     0.13677   -0.48210
     0.15107   -0.47930
     0.16592   -0.47474
     0.18123   -0.46869
     0.19691   -0.46139
     0.21290   -0.45304
     0.22914   -0.44383
     0.24560   -0.43391
     0.26224   -0.42341
     0.27904   -0.41243
     0.29597   -0.40107
     0.31303   -0.38942
     0.33020   -0.37752
     0.34746   -0.36546
     0.36482   -0.35326
     0.38225   -0.34098
     0.39975   -0.32865
     0.41732   -0.31630
     0.43495   -0.30395
     0.45264   -0.29162
     0.47038   -0.27932
     0.48816   -0.26708
     0.50598   -0.25489
     0.52384   -0.24275
     0.54173   -0.23067
     0.55965   -0.21864
     0.57760   -0.20666
     0.59558   -0.19470
     0.61358   -0.18275
     0.63159   -0.17080
     0.64962   -0.15882
     0.66766   -0.14677
     0.68571   -0.13463
     0.70377   -0.12234
     0.72184   -0.10986
     0.73990   -0.09713
     0.75797   -0.08408
     0.77603   -0.07062
     0.79408   -0.05665
     0.81211   -0.04204
     0.83012   -0.02664
     0.84809   -0.01026
     0.86600    0.00734
     0.88379    0.02647
     0.90139    0.04754
     0.91866    0.07105
     0.93541    0.09768
     0.95134    0.12841
     0.96611    0.16458
     0.97943    0.21092
     0.99114    0.26668
     1.00000    0.45450
