#      x          Cp  
     1.00000    0.10809
     0.99114    0.09536
     0.97943    0.07657
     0.96611    0.05606
     0.95134    0.03412
     0.93541    0.01150
     0.91866   -0.01119
     0.90139   -0.03351
     0.88379   -0.05523
     0.86600   -0.07624
     0.84809   -0.09656
     0.83012   -0.11623
     0.81211   -0.13533
     0.79408   -0.15393
     0.77603   -0.17211
     0.75797   -0.18994
     0.73990   -0.20747
     0.72184   -0.22478
     0.70377   -0.24189
     0.68571   -0.25885
     0.66766   -0.27570
     0.64962   -0.29247
     0.63159   -0.30923
     0.61358   -0.32552
     0.59558   -0.34148
     0.57760   -0.35744
     0.55965   -0.37337
     0.54173   -0.38910
     0.52384   -0.40490
     0.50598   -0.42190
     0.48816   -0.44275
     0.47038   -0.47269
     0.45264   -0.52038
     0.43495   -0.59593
     0.41732   -0.70508
     0.39975   -0.78626
     0.38225   -0.79874
     0.36482   -0.81093
     0.34746   -0.82324
     0.33020   -0.83603
     0.31303   -0.84963
     0.29597   -0.86438
     0.27904   -0.88066
     0.26224   -0.89887
     0.24560   -0.91942
     0.22914   -0.94269
     0.21290   -0.96900
     0.19691   -0.99844
     0.18123   -1.03134
     0.16592   -1.06791
     0.15107   -1.10809
     0.13677   -1.15162
     0.12314   -1.19804
     0.11030   -1.24679
     0.09835   -1.29724
     0.08737   -1.34875
     0.07739   -1.40068
     0.06841   -1.45247
     0.06036   -1.50364
     0.05317   -1.55376
     0.04676   -1.60245
     0.04104   -1.64932
     0.03592   -1.69389
     0.03132   -1.73558
     0.02719   -1.77358
     0.02346   -1.80683
     0.02010   -1.83386
     0.01706   -1.85275
     0.01432   -1.86094
     0.01185   -1.85516
     0.00963   -1.83125
     0.00765   -1.78423
     0.00591   -1.70848
     0.00440   -1.59827
     0.00311   -1.44894
     0.00205   -1.25850
     0.00122   -1.02957
     0.00061   -0.77082
     0.00021   -0.49598
     0.00002   -0.22397
     0.00002    0.03069
     0.00021    0.27002
     0.00061    0.48643
     0.00122    0.66811
     0.00205    0.80965
     0.00311    0.90862
     0.00440    0.96928
     0.00591    0.99648
     0.00765    0.99777
     0.00963    0.97917
     0.01185    0.94677
     0.01432    0.90427
     0.01706    0.85567
     0.02010    0.80288
     0.02346    0.74799
     0.02719    0.69206
     0.03132    0.63598
     0.03592    0.58034
     0.04104    0.52554
     0.04676    0.47190
     0.05317    0.41969
     0.06036    0.36916
     0.06841    0.32061
     0.07739    0.27439
     0.08737    0.23089
     0.09835    0.19049
     0.11030    0.15354
     0.12314    0.12024
     0.13677    0.09067
     0.15107    0.06477
     0.16592    0.04233
     0.18123    0.02309
     0.19691    0.00675
     0.21290   -0.00700
     0.22914   -0.01846
     0.24560   -0.02789
     0.26224   -0.03553
     0.27904   -0.04159
     0.29597   -0.04626
     0.31303   -0.04972
     0.33020   -0.05209
     0.34746   -0.05350
     0.36482   -0.05407
     0.38225   -0.05389
     0.39975   -0.05305
     0.41732   -0.05161
     0.43495   -0.04963
     0.45264   -0.04718
     0.47038   -0.04429
     0.48816   -0.04101
     0.50598   -0.03736
     0.52384   -0.03336
     0.54173   -0.02904
     0.55965   -0.02441
     0.57760   -0.01947
     0.59558   -0.01423
     0.61358   -0.00868
     0.63159   -0.00283
     0.64962    0.00334
     0.66766    0.00982
     0.68571    0.01662
     0.70377    0.02371
     0.72184    0.03108
     0.73990    0.03865
     0.75797    0.04634
     0.77603    0.05400
     0.79408    0.06147
     0.81211    0.06856
     0.83012    0.07508
     0.84809    0.08095
     0.86600    0.08620
     0.88379    0.09093
     0.90139    0.09501
     0.91866    0.09842
     0.93541    0.10119
     0.95134    0.10338
     0.96611    0.10508
     0.97943    0.10637
     0.99114    0.10734
     1.00000    0.10809
